date,text,category,start_lat,start_lon,end_lat,end_lon,categories_standard
9/1/2021,Li data erasure request ‐ from Rajas Gandhi ‐ request: 3Z774RXU account/profile__del eting_account 0,Account Issues,,,,,Account Issues
9/1/2021,Close my account please account/profile__del eting_account 4,Account Issues,,,,,Account Issues
9/1/2021,account/profile__del eting_account 5,Account Issues,,,,,Account Issues
9/1/2021,account/profile__del eting_account 47,Account Issues,,,,,Account Issues
9/1/2021,Please delete my lime account account/profile__del eting_account 48,Account Issues,,,,,Account Issues
9/1/2021,I was having problems with my account so I made another one but that just made things worse. Can you please cancel this one so I'll have only one acc? account/profile__del eting_account 3522,Account Issues,,,,,Account Issues
9/1/2021,account/profile__del eting_account 1105,Account Issues,,,,,Account Issues
9/1/2021,account/profile__del eting_account 5,Account Issues,,,,,Account Issues
9/1/2021,account/profile__del eting_account 5,Account Issues,,,,,Account Issues
9/1/2021,account/profile__del eting_account 2287,Account Issues,,,,,Account Issues
9/1/2021,I cannot charge cause it keep saying my account incomplete I have the same phone on 2 accts account/profile__del eting_account 951,Account Issues,,,,,Account Issues
9/1/2021,account/profile__del eting_account 16,Account Issues,,,,,Account Issues
9/1/2021,Account has been hacked account/profile__del eting_account 290,Account Issues,,,,,Account Issues
9/1/2021,account/profile__del eting_account 2,Account Issues,,,,,Account Issues
9/1/2021,Re: Request #10472856: How would you rate the support you received from Lime? app_issue__app_issu e_/_app_unresponsi ve 2546,App Issues,,,,,Account Issues
9/1/2021,Phone Call from: Caller +1 (281) 897‐ 4600 app_issue__app_issu e_/_app_unresponsi ve 7,App Issues,,,,,Account Issues
9/1/2021,app_issue__app_issu e_/_app_unresponsi ve 206,App Issues,,,,,Account Issues
9/1/2021,I was charged incorrectly app_issue__app_issu e_/_app_unresponsi ve 30.28507 ‐97.741848 30.283673 ‐97.742963 3VO66E3J24LZV 283975091 11,App Issues,30.28507,97.741848,30.283673,97.742963,Account Issues
9/1/2021,Receipts for rides via uber app_issue__app_issu e_/_app_unresponsi ve 4342,App Issues,,,,,Account Issues
9/1/2021,Phone Call from: Caller +1 (512) 909‐ 1184 app_issue__app_issu e_/_app_unresponsi ve 6,App Issues,,,,,Account Issues
9/1/2021,The scooter didnâ€™t work correctly and I want a refund app_issue__app_issu e_/_app_unresponsi ve 567,App Issues,,,,,Account Issues
9/1/2021,No pude finalizar mi paseo app_issue__app_issu e_/_app_unresponsi ve 30.259093 ‐97.730479 30.260479 ‐97.724157 FC6APUMW4EZES 288345700 868,App Issues,30.259093,97.730479,30.260479,97.724157,Account Issues
9/1/2021,Scooter wouldnâ€™t let me end my ride and I donâ€™t want to get charged. app_issue__app_issu e_/_app_unresponsi ve 30.259089 ‐97.736144 30.251116 ‐97.749178 5WCQFZ5PCK356 284936650 833,App Issues,30.259089,97.736144,30.251116,97.749178,Account Issues
9/1/2021,app_issue__app_issu e_/_app_unresponsi ve 153,App Issues,,,,,Account Issues
9/1/2021,Phone Call from: Caller +1 (646) 583‐ 3008 app_issue__app_issu e_/_app_unresponsi ve 11,App Issues,,,,,Account Issues
9/1/2021,won't accept card payment app_issue__app_issu e_/_app_unresponsi ve 827,App Issues,,,,,Account Issues
9/1/2021,Was broken when I got it app_issue__app_issu e_/_app_unresponsi ve 157,App Issues,,,,,Account Issues
9/1/2021,I was unable to end my ride cannot_end_trip_/_l ock_vehicle__parking _pins 30.290529 ‐97.741572 30.283442 ‐97.737204 C2EQ6HLJSFEDN 286102356 6,Trip Issues,30.290529,97.741572,30.283442,97.737204,Trips & Fares
9/1/2021,I had a mechanical issue with my vehicle cannot_end_trip_/_l ock_vehicle__parking _pins 30.289581 ‐97.734402 30.28998 ‐97.74139 MTZOCVWEUDI4Y 276309545 421,Trip Issues,30.289581,97.734402,30.28998,97.74139,Trips & Fares
9/1/2021,cannot_end_trip_/_l ock_vehicle__parking _pins 30.25662 ‐97.74693 30.28009 ‐97.73698 2NFKC3OAKMSBN 276159641 413,Trip Issues,30.25662,97.74693,30.28009,97.73698,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip_/_l ock_vehicle__parking _pins 30.256721 ‐97.746757 30.264909 ‐97.744031 IP63AWGMPQBJT 276124293 4,Trip Issues,30.256721,97.746757,30.264909,97.744031,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip_/_l ock_vehicle__parking _pins 30.265926 ‐97.742967 30.27986 ‐97.735731 VGBJGSADZBWB6 276131493 5,Trip Issues,30.265926,97.742967,30.27986,97.735731,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip_/_l ock_vehicle__parking _pins 30.291476 ‐97.735001 30.287006 ‐97.724975 VYAML7IKK6SH4 275851384 445,Trip Issues,30.291476,97.735001,30.287006,97.724975,Trips & Fares
9/1/2021,Phone Call from: Caller +1 (915) 777‐ 5573 cannot_end_trip_/_l ock_vehicle__parking _pins 30.293452 ‐97.744313 30.291962 ‐97.740189 FUUGE6R27WDX3 287260818 9,Trip Issues,30.293452,97.744313,30.291962,97.740189,Trips & Fares
9/1/2021,Phone Call from: Caller +1 (512) 400‐ 9211 cannot_end_trip_/_l ock_vehicle__parking _pins 30.265777 ‐97.768391 30.264454 ‐97.76293 RV7PHCNM36J5Y 283540437 3,Trip Issues,30.265777,97.768391,30.264454,97.76293,Trips & Fares
9/1/2021,Could not turn off ride cannot_end_trip_/_l ock_vehicle__parking _pins 30.27005 ‐97.750164 30.290921 ‐97.749303 HSASHMMBJ5ZFO 286352338 74,Trip Issues,30.27005,97.750164,30.290921,97.749303,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.268513 ‐97.743198 30.27219 ‐97.755466 YK6LBM4NWIBXK 276858936 7,Trip Issues,30.268513,97.743198,30.27219,97.755466,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 38.728941 ‐9.147498 38.737733 ‐9.144143 RDOOCWXAHSRN2 275504396 20,Trip Issues,38.728941,9.147498,38.737733,9.144143,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.270116 ‐97.75072 30.264149 ‐97.744395 HSNYA2MTGIDOJ 274795251 192,Trip Issues,30.270116,97.75072,30.264149,97.744395,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.270116 ‐97.75072 30.264149 ‐97.744395 HSNYA2MTGIDOJ 274795251 209,Trip Issues,30.270116,97.75072,30.264149,97.744395,Trips & Fares
9/1/2021,I forgot to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.265871 ‐97.742703 30.267252 ‐97.740535 ZLXALPNESPJ52 286659910 20,Trip Issues,30.265871,97.742703,30.267252,97.740535,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.278687 ‐97.736265 30.29811 ‐97.745211 G7JL4AAW5WSTH 276297438 4,Trip Issues,30.278687,97.736265,30.29811,97.745211,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.267717 ‐97.751835 30.267575 ‐97.751836 Y5ANMTPDNDP2C 276438866 1400,Trip Issues,30.267717,97.751835,30.267575,97.751836,Trips & Fares
9/1/2021,Phone Call from: Caller +1 (562) 416‐ 9543 cannot_end_trip/loc k_vehicle___app_bu g 30.290384 ‐97.734572 30.293281 ‐97.738027 OIRWI3HNFNEHR 274780407 2,Trip Issues,30.290384,97.734572,30.293281,97.738027,Trips & Fares
9/1/2021,I was charged incorrectly cannot_end_trip/loc k_vehicle___app_bu g 30.250387 ‐97.739831 30.254688 ‐97.743286 DVYL4NMFMFTGO 286279426 175,Trip Issues,30.250387,97.739831,30.254688,97.743286,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.265621 ‐97.738427 30.26167 ‐97.72269 O2IA57UYMSW26 288295898 62,Trip Issues,30.265621,97.738427,30.26167,97.72269,Trips & Fares
9/1/2021,Message from: Text user: +15127500147 cannot_end_trip/loc k_vehicle___app_bu g 30.261813 ‐97.741214 30.269755 ‐97.748615 BMFZQMRMPH7EW 276864382 448,Trip Issues,30.261813,97.741214,30.269755,97.748615,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.285746 ‐97.741869 30.285817 ‐97.746779 4UB3QUQ4I2ZZR 287819252 8,Trip Issues,30.285746,97.741869,30.285817,97.746779,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.326188 ‐97.739856 30.304775 ‐97.71655 HHIH3UR3PGS55 278698202 186,Trip Issues,30.326188,97.739856,30.304775,97.71655,Trips & Fares
9/1/2021,I couldn't start my trip cannot_end_trip/loc k_vehicle___app_bu g 30.261842 ‐97.719066 30.274228 ‐97.73047 TMECJ6MASPFWH 276140743 9,Trip Issues,30.261842,97.719066,30.274228,97.73047,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.263827 ‐97.728584 30.266498 ‐97.738427 XS5LLDIC564I2 283148662 2277,Trip Issues,30.263827,97.728584,30.266498,97.738427,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.263334 ‐97.744183 30.267647 ‐97.752232 JDX674HP4WS7M 277215975 458,Trip Issues,30.263334,97.744183,30.267647,97.752232,Trips & Fares
9/1/2021,Phone Call from: Caller +1 (973) 294‐ 6813 cannot_end_trip/loc k_vehicle___app_bu g 30.259144 ‐97.747381 30.250959 ‐97.749391 L43PLWM72SLOR 277115148 3,Trip Issues,30.259144,97.747381,30.250959,97.749391,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.273086 ‐97.73704 30.27308 ‐97.73705 IFNMUHFML3WZY 280317258 636,Trip Issues,30.273086,97.73704,30.27308,97.73705,Trips & Fares
9/1/2021,I had a mechanical issue with my vehicle cannot_end_trip/loc k_vehicle___app_bu g 30.264281 ‐97.733665 30.267314 ‐97.736927 6PVCUUPATVOQU 283138044 8,Trip Issues,30.264281,97.733665,30.267314,97.736927,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.269291 ‐97.751892 30.268085 ‐97.743624 EKIOTTMZAE7JL 275260658 170,Trip Issues,30.269291,97.751892,30.268085,97.743624,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.289981 ‐97.749209 30.289481 ‐97.734433 U3P3JCEVMFA7L 277972419 4,Trip Issues,30.289981,97.749209,30.289481,97.734433,Trips & Fares
9/1/2021,Phone Call from: Caller +1 (806) 332‐ 8272 cannot_end_trip/loc k_vehicle___app_bu g 30.269586 ‐97.748342 30.269784 ‐97.749522 76Q5PCS5AB36L 277344913 2,Trip Issues,30.269586,97.748342,30.269784,97.749522,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.254476 ‐97.699072 30.254508 ‐97.699053 IKE5YOKLYOKAI 284300014 4,Trip Issues,30.254476,97.699072,30.254508,97.699053,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.252466 ‐97.73332 30.253215 ‐97.735667 LIFKA32QH22OR 276765469 394,Trip Issues,30.252466,97.73332,30.253215,97.735667,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.257515 ‐97.739187 30.252724 ‐97.732378 W6GGHE4KWZTFX 260439730 53,Trip Issues,30.257515,97.739187,30.252724,97.732378,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.272286 ‐97.759699 30.266251 ‐97.743236 OBG5ATPECIAJU 281308341 375,Trip Issues,30.272286,97.759699,30.266251,97.743236,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.273468 ‐97.736915 30.275518 ‐97.736157 NAYMRSDT4JA4G 276225811 260,Trip Issues,30.273468,97.736915,30.275518,97.736157,Trips & Fares
9/1/2021,Phone Call from: Caller +1 (703) 935‐ 9343 cannot_end_trip/loc k_vehicle___app_bu g 30.289173 ‐97.744268 30.28982 ‐97.746426 TYAZAQT4VUF3X 277244857 9,Trip Issues,30.289173,97.744268,30.28982,97.746426,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.258544 ‐97.732234 30.25767 ‐97.73907 HZLEP63Z244OI 276373095 249,Trip Issues,30.258544,97.732234,30.25767,97.73907,Trips & Fares
9/1/2021,Phone Call from: Caller +1 (479) 220‐ 9820 cannot_end_trip/loc k_vehicle___app_bu g 35.474337 ‐97.534588 35.472863 ‐97.517778 R2NMXORMQGNM W 279779607 3,Trip Issues,35.474337,97.534588,35.472863,97.517778,Trips & Fares
9/1/2021,Phone Call from: Caller +1 (919) 214‐ 4506 cannot_end_trip/loc k_vehicle___app_bu g 30.267571 ‐97.736932 30.262036 ‐97.741193 5WQ7JW3UHZTCF 276394132 3,Trip Issues,30.267571,97.736932,30.262036,97.741193,Trips & Fares
9/1/2021,Phone Call from: Caller +1 (682) 248‐ 8947 cannot_end_trip/loc k_vehicle___app_bu g 30.290869 ‐97.749117 30.283704 ‐97.743907 DBGSBLLFRUTJL 284674728 4,Trip Issues,30.290869,97.749117,30.283704,97.743907,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.266908 ‐97.700459 30.256648 ‐97.685658 DATYOSOLRWHKQ 277906898 16,Trip Issues,30.266908,97.700459,30.256648,97.685658,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.262152 ‐97.737862 30.262033 ‐97.723673 PEVZI2SJCSTQR 283129482 4,Trip Issues,30.262152,97.737862,30.262033,97.723673,Trips & Fares
9/1/2021,My vehicle was broken or stopped working cannot_end_trip/loc k_vehicle___app_bu g 30.287951 ‐97.744627 30.280152 ‐97.736746 IQUEFGODBOSY4 285717021 55,Trip Issues,30.287951,97.744627,30.280152,97.736746,Trips & Fares
9/1/2021,Phone Call from: Caller +1 (225) 772‐ 7239 cannot_end_trip/loc k_vehicle___app_bu g 30.269469 ‐97.748723 30.263407 ‐97.742022 HZDKGCBSF4U4X 280710112 4,Trip Issues,30.269469,97.748723,30.263407,97.742022,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.285523 ‐97.74312 30.283771 ‐97.73989 JWQVWGCJCAVZZ 287885388 18,Trip Issues,30.285523,97.74312,30.283771,97.73989,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.290948 ‐97.748233 30.283748 ‐97.746762 TVXU4O2XFUXIT 284311870 11,Trip Issues,30.290948,97.748233,30.283748,97.746762,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.28815 ‐97.748835 30.288185 ‐97.749404 2UQ74RQB7CV5F 276738863 120,Trip Issues,30.28815,97.748835,30.288185,97.749404,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.270442 ‐97.749366 30.270442 ‐97.749366 5OYQ6WNP46YNX 276461628 4,Trip Issues,30.270442,97.749366,30.270442,97.749366,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.264245 ‐97.741989 30.267368 ‐97.742916 GERCIASS4KISQ 282331556 165,Trip Issues,30.264245,97.741989,30.267368,97.742916,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.264245 ‐97.741989 30.267368 ‐97.742916 GERCIASS4KISQ 282331556 117,Trip Issues,30.264245,97.741989,30.267368,97.742916,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.293979 ‐97.74172 30.296908 ‐97.743108 AC22RNI6XZOD2 284342674 1,Trip Issues,30.293979,97.74172,30.296908,97.743108,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.287681 ‐97.74203 30.296076 ‐97.747257 FMZZINRMLPEYM 276267485 7,Trip Issues,30.287681,97.74203,30.296076,97.747257,Trips & Fares
9/1/2021,Phone Call from: Caller +1 (832) 748‐ 1019 cannot_end_trip/loc k_vehicle___app_bu g 6,Trip Issues,,,,,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 766,Trip Issues,,,,,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.28933 ‐97.747608 30.287811 ‐97.741795 V37SI46VYTZDK 280992555 258,Trip Issues,30.28933,97.747608,30.287811,97.741795,Trips & Fares
9/1/2021,Phone Call from: Caller +1 (415) 672‐ 9018 cannot_end_trip/loc k_vehicle___app_bu g 30.26816 ‐97.746646 30.264553 ‐97.741575 SRUQX6QQ7YG5C 285634871 3,Trip Issues,30.26816,97.746646,30.264553,97.741575,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.272658 ‐97.740817 30.264523 ‐97.741707 J46DZZLLPMB6F 287878785 17,Trip Issues,30.272658,97.740817,30.264523,97.741707,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.283923 ‐97.745223 30.29436 ‐97.74464 SC6ZJGG6APIYB 276432368 75,Trip Issues,30.283923,97.745223,30.29436,97.74464,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.283923 ‐97.745223 30.29436 ‐97.74464 SC6ZJGG6APIYB 276432368 72,Trip Issues,30.283923,97.745223,30.29436,97.74464,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.27706 ‐97.741005 30.280243 ‐97.736998 B2HMBXDHUTJIX 276197163 4,Trip Issues,30.27706,97.741005,30.280243,97.736998,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.262808 ‐97.725669 30.26582 ‐97.73379 BA4JA7XSVJL5V 276034036 3,Trip Issues,30.262808,97.725669,30.26582,97.73379,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.268682 ‐97.745636 30.269019 ‐97.745964 SWFOLMLYZEKGO 286139947 10,Trip Issues,30.268682,97.745636,30.269019,97.745964,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.283776 ‐97.742446 30.289416 ‐97.746132 CVRCN2OBOWAVJ 284325163 7,Trip Issues,30.283776,97.742446,30.289416,97.746132,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.261092 ‐97.749193 30.250801 ‐97.7494 E7LBGMPPWBHKU 273643682 1003,Trip Issues,30.261092,97.749193,30.250801,97.7494,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.265701 ‐97.740762 30.261727 ‐97.739143 F2KG57MGF4FVM 286364394 22,Trip Issues,30.265701,97.740762,30.261727,97.739143,Trips & Fares
9/1/2021,I was charged incorrectly cannot_end_trip/loc k_vehicle___app_bu g 30.283454 ‐97.744027 30.264724 ‐97.742093 HFOQKSXWICIPI 283011253 6,Trip Issues,30.283454,97.744027,30.264724,97.742093,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.26662 ‐97.745941 30.26747 ‐97.74048 6PTVCYUBV2U5D 278704919 131,Trip Issues,30.26662,97.745941,30.26747,97.74048,Trips & Fares
9/1/2021,Phone Call from: Caller +1 (978) 846‐ 5946 cannot_end_trip/loc k_vehicle___app_bu g 30.270084 ‐97.749352 30.268413 ‐97.744425 JNUSHDTB23ZMX 283158605 4,Trip Issues,30.270084,97.749352,30.268413,97.744425,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.251956 ‐97.708769 30.23146 ‐97.726946 27EWBSGY27C2Y 276799756 5,Trip Issues,30.251956,97.708769,30.23146,97.726946,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.285148 ‐97.743355 30.298381 ‐97.745775 IGCCGCWTGT5EH 277107783 254,Trip Issues,30.285148,97.743355,30.298381,97.745775,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.283971 ‐97.741844 30.290797 ‐97.749261 QHATWJ36CGFCW 284285993 6,Trip Issues,30.283971,97.741844,30.290797,97.749261,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.26964 ‐97.742391 30.26973 ‐97.74218 BDX4JW7GDGNHA 286327978 15,Trip Issues,30.26964,97.742391,30.26973,97.74218,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.2678 ‐97.74526 30.271189 ‐97.743141 FJXD5CO3E2HZE 276397036 5,Trip Issues,30.2678,97.74526,30.271189,97.743141,Trips & Fares
9/1/2021,Lime Scooter XXXAJP wouldn't turn off cannot_end_trip/loc k_vehicle___app_bu g 30.262635 ‐97.731233 30.26294 ‐97.74102 22NFS4M73PM2M 279199821 782,Trip Issues,30.262635,97.731233,30.26294,97.74102,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.283927 ‐97.743431 30.29067 ‐97.74284 AZR7CNHDRJWT3 275741193 260,Trip Issues,30.283927,97.743431,30.29067,97.74284,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.265418 ‐97.740591 30.259188 ‐97.74666 JXFLW4ZLFFJZY 276090873 338,Trip Issues,30.265418,97.740591,30.259188,97.74666,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.265761 ‐97.744745 30.250173 ‐97.749276 IHWNH4Y6RBXQC 276277304 17,Trip Issues,30.265761,97.744745,30.250173,97.749276,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.26445 ‐97.72802 30.264422 ‐97.727614 LXWMWXOOAS5WY 275522058 25,Trip Issues,30.26445,97.72802,30.264422,97.727614,Trips & Fares
9/1/2021,I had an incorrect charge cannot_end_trip/loc k_vehicle___app_bu g 30.268816 ‐97.748207 30.26202 ‐97.72957 JI2ZLRVW4DKWM 280706200 3,Trip Issues,30.268816,97.748207,30.26202,97.72957,Trips & Fares
9/1/2021,Phone Call from: Caller +1 (254) 283‐ 3102 cannot_end_trip/loc k_vehicle___app_bu g 30.27944 ‐97.735464 30.284752 ‐97.733115 7EKAL6ZZ2YR24 276225200 2,Trip Issues,30.27944,97.735464,30.284752,97.733115,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.278798 ‐97.74254 30.280426 ‐97.737677 ZE5VYY2UGRKMA 283047253 5,Trip Issues,30.278798,97.74254,30.280426,97.737677,Trips & Fares
9/1/2021,I was unable to end my ride cannot_end_trip/loc k_vehicle___app_bu g 30.28654 ‐97.74354 RIIXCRZCXKECB 281549022 527,Trip Issues,30.28654,97.74354,,,Trips & Fares
9/1/2021,cannot_end_trip/loc k_vehicle___app_bu g 30.265667 ‐97.746497 30.265629 ‐97.746083 GNUZEMEGDUBJT 276225525 374,Trip Issues,30.265667,97.746497,30.265629,97.746083,Trips & Fares
